File,Chip mass (kg),Fill height (m),Fill volume (cm^3),Bulk density (g/L)
BBox_Run_0.8_4.fbx,0.08692591490398627,0.07677847146987915,1625.0800450191693,53.49023586278847
BBox_Run_0.8_5.fbx,0.08065750615787692,0.07892253994941711,1672.8371636294064,48.215993709083726
BBox_Run_0.8_6.fbx,0.08592466539266752,0.09017311036586761,1925.5906555197992,44.6224981131687
BBox_Run_0.8_7.fbx,0.08333891292568296,0.08034476637840271,1704.5883921066904,48.89093068543363
BBox_Run_0.8_8.fbx,0.08624420089472551,0.07780890166759491,1648.0155271393523,52.33215311049245
BBox_Run_0.8_9.fbx,0.0875347459805198,0.08049702644348145,1707.9910283866918,51.25012047821003
BBox_Run_0.95_1.fbx,0.09371239793836139,0.099800705909729,2144.7746318055474,43.69335432668325
BBox_Run_0.95_10.fbx,0.09461620460206177,0.1038741022348404,2238.3176839801476,42.27112410326691
BBox_Run_0.95_2.fbx,0.08598850668931846,0.09085796773433685,1941.093931221896,44.29899311219303
BBox_Run_0.95_3.fbx,0.09867140528513119,0.10098154842853546,2171.8424418567733,45.4321194684703
BBox_Run_0.95_4.fbx,0.08335308682580944,0.09543165564537048,2044.9761568125878,40.75993089118855
BBox_Run_0.95_5.fbx,0.10457839227456134,0.12991786003112793,2847.8364917512185,36.72204937940556
BBox_Run_0.95_6.fbx,0.0930346024397295,0.10236890614032745,2203.6957223805903,42.21753552220306
BBox_Run_0.95_7.fbx,0.09950611671956722,0.09740512073040009,2089.9859695966043,47.61090177977283
BBox_Run_0.95_8.fbx,0.0897806772554759,0.10040126740932465,2158.535927748146,41.59332077883826
BBox_Run_0.95_9.fbx,0.10591357396333478,0.11074075102806091,2397.097310391104,44.184094447986425
BBox_Run_0.9_1.fbx,0.08781990094576031,0.08734524250030518,1861.718454714622,47.1714188165052
BBox_Run_0.9_10.fbx,0.09073685234761797,0.09394150972366333,2011.0641872323833,45.11882461220175
BBox_Run_0.9_2.fbx,0.09237572806887329,0.09728552401065826,2087.2550626343,44.257038692859595
BBox_Run_0.9_3.fbx,0.09809979858255247,0.09733906388282776,2088.477556818009,46.971918976240616
BBox_Run_0.9_4.fbx,0.09639227318984922,0.10819797217845917,2338.139861054741,41.226051014059706
BBox_Run_0.9_5.fbx,0.09127338507096283,0.09501320123672485,2035.4467146594893,44.841942760575776
BBox_Run_0.9_6.fbx,0.08810790433199145,0.08779656887054443,1871.897007456942,47.0687778125625
BBox_Run_0.9_7.fbx,0.08901347899518441,0.09721820056438446,2085.717961035976,42.6776202046855
BBox_Run_0.9_8.fbx,0.0869590442016488,0.088306725025177,1883.409369825933,46.171079742310965
BBox_Run_0.9_9.fbx,0.08935020329954568,0.09273223578929901,1983.5912540918553,45.044664880039896
BBox_Run_1._1.fbx,0.09504335632664151,0.11753755807876587,2555.6160240586464,37.189998588168365
BBox_Run_1._10.fbx,0.10974612223071745,0.14765547960996628,3274.4011029486524,33.51639545072509
BBox_Run_1._2.fbx,0.10234856058377773,0.11885447800159454,2586.486206951585,39.570503143879144
BBox_Run_1._3.fbx,0.09830487451108638,0.10132433474063873,2179.707513032248,45.10003012942407
