,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
7014,66442437,-71.0868217,42.4367384,66435363,-71.11893,42.410403,8:30
7015,66442437,-71.0868217,42.4367384,66435363,-71.11893,42.410403,15:30
7016,66442437,-71.0868217,42.4367384,66435363,-71.11893,42.410403,17:30
7017,1538930314,-71.092831,42.4346586,66469583,-71.0889423,42.4039865,8:30
7018,1538930314,-71.092831,42.4346586,66469583,-71.0889423,42.4039865,15:30
7019,1538930314,-71.092831,42.4346586,66469583,-71.0889423,42.4039865,17:30
7020,66438944,-71.0949567,42.4059703,66462139,-71.118875,42.411885,8:30
7021,66438944,-71.0949567,42.4059703,66462139,-71.118875,42.411885,15:30
7022,66438944,-71.0949567,42.4059703,66462139,-71.118875,42.411885,17:30
7023,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,8:30
7024,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,15:30
7025,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,17:30
7026,66466113,-71.093519,42.409641,2295021981,-71.1211007,42.4098316,8:30
7027,66466113,-71.093519,42.409641,2295021981,-71.1211007,42.4098316,15:30
7028,66466113,-71.093519,42.409641,2295021981,-71.1211007,42.4098316,17:30
7029,66422250,-71.092749,42.4052032,66455391,-71.0946151,42.4376473,8:30
7030,66422250,-71.092749,42.4052032,66455391,-71.0946151,42.4376473,15:30
7031,66422250,-71.092749,42.4052032,66455391,-71.0946151,42.4376473,17:30
7032,66438728,-71.0877528,42.4402862,66461868,-71.0889433,42.4041206,8:30
7033,66438728,-71.0877528,42.4402862,66461868,-71.0889433,42.4041206,15:30
7034,66438728,-71.0877528,42.4402862,66461868,-71.0889433,42.4041206,17:30
7035,66431325,-71.0830077,42.4089873,66481516,-71.0887088,42.4339288,8:30
7036,66431325,-71.0830077,42.4089873,66481516,-71.0887088,42.4339288,15:30
7037,66431325,-71.0830077,42.4089873,66481516,-71.0887088,42.4339288,17:30
7038,2259117099,-71.0827998,42.4022522,66459547,-71.121782,42.411549,8:30
7039,2259117099,-71.0827998,42.4022522,66459547,-71.121782,42.411549,15:30
7040,2259117099,-71.0827998,42.4022522,66459547,-71.121782,42.411549,17:30
7041,66448946,-71.093711,42.433961,66479782,-71.120223,42.40949,8:30
7042,66448946,-71.093711,42.433961,66479782,-71.120223,42.40949,15:30
7043,66448946,-71.093711,42.433961,66479782,-71.120223,42.40949,17:30
7044,66452671,-71.126283,42.410583,66467254,-71.0919027,42.4331566,8:30
7045,66452671,-71.126283,42.410583,66467254,-71.0919027,42.4331566,15:30
7046,66452671,-71.126283,42.410583,66467254,-71.0919027,42.4331566,17:30
7047,66434417,-71.0950028,42.4058244,66435363,-71.11893,42.410403,8:30
7048,66434417,-71.0950028,42.4058244,66435363,-71.11893,42.410403,15:30
7049,66434417,-71.0950028,42.4058244,66435363,-71.11893,42.410403,17:30
7050,66476095,-71.0940926,42.4306115,66435752,-71.122522,42.410456,8:30
7051,66476095,-71.0940926,42.4306115,66435752,-71.122522,42.410456,15:30
7052,66476095,-71.0940926,42.4306115,66435752,-71.122522,42.410456,17:30
7053,66422683,-71.127038,42.410869,66468665,-71.092357,42.441233,8:30
7054,66422683,-71.127038,42.410869,66468665,-71.092357,42.441233,15:30
7055,66422683,-71.127038,42.410869,66468665,-71.092357,42.441233,17:30
7056,66464594,-71.125489,42.4102817,66438728,-71.0877528,42.4402862,8:30
7057,66464594,-71.125489,42.4102817,66438728,-71.0877528,42.4402862,15:30
7058,66464594,-71.125489,42.4102817,66438728,-71.0877528,42.4402862,17:30
7059,66457942,-71.0954488,42.4274634,66461201,-71.091242,42.406175,8:30
