,osmid_start,x_start,y_start,start_zone,osmid_end,x_end,y_end,end_zone,Time
878,66437578,-71.118759,42.410699,0,66446726,-71.0873683,42.436313,1,17:30
879,66452671,-71.126283,42.410583,0,66429172,-71.09071,42.411046,2,8:30
880,66452671,-71.126283,42.410583,0,66429172,-71.09071,42.411046,2,15:30
881,66452671,-71.126283,42.410583,0,66429172,-71.09071,42.411046,2,17:30
882,66452635,-71.081707,42.404687,2,66445763,-71.121871,42.41055,0,8:30
883,66452635,-71.081707,42.404687,2,66445763,-71.121871,42.41055,0,15:30
884,66452635,-71.081707,42.404687,2,66445763,-71.121871,42.41055,0,17:30
885,66463369,-71.1217444,42.4101564,0,66485914,-71.0920613,42.4110262,2,8:30
886,66463369,-71.1217444,42.4101564,0,66485914,-71.0920613,42.4110262,2,15:30
887,66463369,-71.1217444,42.4101564,0,66485914,-71.0920613,42.4110262,2,17:30
888,66465564,-71.0835666,42.4049152,2,66434734,-71.0906923,42.4375967,1,8:30
889,66465564,-71.0835666,42.4049152,2,66434734,-71.0906923,42.4375967,1,15:30
890,66465564,-71.0835666,42.4049152,2,66434734,-71.0906923,42.4375967,1,17:30
891,66463678,-71.120822,42.410936,0,288493456,-71.0812888,42.4019641,2,8:30
892,66463678,-71.120822,42.410936,0,288493456,-71.0812888,42.4019641,2,15:30
893,66463678,-71.120822,42.410936,0,288493456,-71.0812888,42.4019641,2,17:30
894,66457713,-71.119392,42.411164,0,66465205,-71.0785387,42.4053011,2,8:30
895,66457713,-71.119392,42.411164,0,66465205,-71.0785387,42.4053011,2,15:30
896,66457713,-71.119392,42.411164,0,66465205,-71.0785387,42.4053011,2,17:30
897,66452671,-71.126283,42.410583,0,66422266,-71.081398,42.411447,2,8:30
898,66452671,-71.126283,42.410583,0,66422266,-71.081398,42.411447,2,15:30
899,66452671,-71.126283,42.410583,0,66422266,-71.081398,42.411447,2,17:30
900,66464115,-71.0821502,42.4034082,2,66437578,-71.118759,42.410699,0,8:30
901,66464115,-71.0821502,42.4034082,2,66437578,-71.118759,42.410699,0,15:30
902,66464115,-71.0821502,42.4034082,2,66437578,-71.118759,42.410699,0,17:30
903,1477465579,-71.0941154,42.4097204,2,66423133,-71.0942237,42.4282811,1,8:30
904,1477465579,-71.0941154,42.4097204,2,66423133,-71.0942237,42.4282811,1,15:30
905,1477465579,-71.0941154,42.4097204,2,66423133,-71.0942237,42.4282811,1,17:30
906,66437347,-71.07936,42.411035,2,66445753,-71.0905484,42.432587,1,8:30
907,66437347,-71.07936,42.411035,2,66445753,-71.0905484,42.432587,1,15:30
908,66437347,-71.07936,42.411035,2,66445753,-71.0905484,42.432587,1,17:30
909,66470016,-71.0753251,42.4043593,2,66452671,-71.126283,42.410583,0,8:30
910,66470016,-71.0753251,42.4043593,2,66452671,-71.126283,42.410583,0,15:30
911,66470016,-71.0753251,42.4043593,2,66452671,-71.126283,42.410583,0,17:30
912,66432605,-71.0823447,42.4057258,2,66463369,-71.1217444,42.4101564,0,8:30
913,66432605,-71.0823447,42.4057258,2,66463369,-71.1217444,42.4101564,0,15:30
914,66432605,-71.0823447,42.4057258,2,66463369,-71.1217444,42.4101564,0,17:30
915,66435752,-71.122522,42.410456,0,66474496,-71.0943593,42.4341527,1,8:30
916,66435752,-71.122522,42.410456,0,66474496,-71.0943593,42.4341527,1,15:30
917,66435752,-71.122522,42.410456,0,66474496,-71.0943593,42.4341527,1,17:30
918,66423118,-71.0942604,42.4412092,1,66435140,-71.120518,42.408775,0,8:30
919,66423118,-71.0942604,42.4412092,1,66435140,-71.120518,42.408775,0,15:30
920,66423118,-71.0942604,42.4412092,1,66435140,-71.120518,42.408775,0,17:30
921,66459547,-71.121782,42.411549,0,66478982,-71.084974,42.411069,2,8:30
922,66459547,-71.121782,42.411549,0,66478982,-71.084974,42.411069,2,15:30
923,66459547,-71.121782,42.411549,0,66478982,-71.084974,42.411069,2,17:30
924,66462139,-71.118875,42.411885,0,66466113,-71.093519,42.409641,2,8:30
925,66462139,-71.118875,42.411885,0,66466113,-71.093519,42.409641,2,15:30
926,66462139,-71.118875,42.411885,0,66466113,-71.093519,42.409641,2,17:30
927,66428836,-71.093243,42.4303988,1,66453420,-71.12203,42.411153,0,8:30
928,66428836,-71.093243,42.4303988,1,66453420,-71.12203,42.411153,0,15:30
929,66428836,-71.093243,42.4303988,1,66453420,-71.12203,42.411153,0,17:30
930,66449255,-71.092265,42.41105,2,66447050,-71.089764,42.432499,1,8:30
931,66449255,-71.092265,42.41105,2,66447050,-71.089764,42.432499,1,15:30
932,66449255,-71.092265,42.41105,2,66447050,-71.089764,42.432499,1,17:30
933,66424412,-71.094175,42.4425258,1,66437578,-71.118759,42.410699,0,8:30
934,66424412,-71.094175,42.4425258,1,66437578,-71.118759,42.410699,0,15:30
935,66424412,-71.094175,42.4425258,1,66437578,-71.118759,42.410699,0,17:30
936,66443549,-71.122337,42.410717,0,66457683,-71.077194,42.408204,2,8:30
937,66443549,-71.122337,42.410717,0,66457683,-71.077194,42.408204,2,15:30
